,Title,published_date,Views,Likes,Comments,Month
61,YEH HUM KAUNSI JAGAH AGAYE 😱| Purne to Padum,2022-06-10,536729,49314,536729,Jun
62,MANALI TO PURNE | A THRILLING EXPERIENCE,2022-06-09,634327,62136,634327,Jun
63,SOCHA NAHI THA ZANSKAR KE RASTEY MAI AYSA HOJAYEGA.,2022-06-08,635434,52240,635434,Jun
64,1ST DAY OF RIDING AND IT WAS HORRIBLE,2022-06-07,607457,50804,607457,Jun
65,A CAR FROM THE FUTURE | ISKO LEKE JAYENGEY.,2022-06-06,463461,42963,463461,Jun
66,AN EPIC ADVENTURE BEGINS | AUR PEHELE HI DIN LAPTOP BHOOL JATA.,2022-06-05,429726,39907,429726,Jun
67,GALAT FLIGHT BOOK KAR LI THI..,2022-06-04,376477,36922,376477,Jun
68,NAZAR HATI AUR SKYU CAKE KHANE LAGI ..,2022-06-03,408596,36666,408596,Jun
69,WE WERE TALKING ABOUT 2ND CHILD AND SKYUS REACTION WAS,2022-06-02,403407,37933,403407,Jun
70,Best Adventure motorcycle 🏍,2022-06-02,884892,83747,884892,Jun
71,THIS IS WHAT WE LIVE FOR | CHOTI SI SHARMA FAMILY !!,2022-06-01,323433,33678,323433,Jun
72,URGENTLY DECIDED TO TRANSPORT MY BMW GSA TO,2022-05-31,404999,39593,404999,May
73,SCOOTER CHORI HOGAYA KYA ?,2022-05-30,328053,34919,328053,May
74,FINALLY ! GOT THE DJI MINI 3 | INDIA,2022-05-29,384991,35302,384991,May
75,SO MANY PROBLEMS IN ONE DAY,2022-05-28,412679,38887,412679,May
76,"AWARD NIGHT, BUT THE CENTER OF ATTRACTION WAS SOMEONE ELSE.",2022-05-27,988624,73546,988624,May
77,LIGHT HOUSE KE UPAR JANE KI ENTRY | CRAZY VIEW.,2022-05-26,337163,34070,337163,May
78,KERALA ATEY HI SAB SE PEHELE YEH KIYA !!,2022-05-25,435866,41375,435866,May
79,TRAVELLING WITH MY DAUGHTER LIKE THIS ...,2022-05-24,483538,47386,483538,May
80,TRIP KI SHOPPING KARTEY TIME SKYU SAB KO SMILE DE RAHI THI..,2022-05-23,427996,38695,427996,May
81,RANGE ROVER KO KERALA LE JAO KYA ?,2022-05-22,425973,42262,425973,May
82,Creators edition setup | Gopro,2022-05-21,396813,31918,396813,May
83,IS THIS THE BEST VLOGGING SETUP OF 2022 ?,2022-05-21,315634,31980,315634,May
84,EK CHOTEY SE VIDEO KE CHAKKAR MAI HALAT KHARAB HOGAI ..,2022-05-20,334273,32891,334273,May
85,MAASI NE APNE BIRTHDAY PE SKYU KO CAKE TASTE KARAYA..,2022-05-19,368566,36073,368566,May
86,MASSAGE GUN USE KARNA NAHI ATA INKO..,2022-05-18,363249,33742,363249,May
87,KUCH LOGO KO LAGTA HAI SADAK UNKI HAI ..,2022-05-17,340366,33688,340366,May
88,REELS BANANE KE CHAKKAR MAI KUCH MAST BAN GAYA ..,2022-05-16,333180,32736,333180,May
89,MUMBAI KI YEH JAGAH MUJHE BHI NAHI PATA THI ..,2022-05-15,531532,45376,531532,May
90,PURI FAMILY LIFT KE ANDAR | POOJA FOR NEW HOUSE,2022-05-14,471393,44963,471393,May
91,OUR NEW BUSINESS WILL LAUNCH SOON.,2022-05-13,475965,39944,475965,May
92,Skyu Ko Chalna Sikhna hain😳🤭,2022-05-12,308373,32465,308373,May
93,Hum Skyu Ko legaye Gym 🤣,2022-05-11,343397,33481,343397,May
94,Yaar Skyu Ki toh Masti Hi Nahi Rukti😳,2022-05-10,338126,35601,338126,May
95,Yeh Meri Dream Bike Thi Par Paise Nahi The! 🙏🏻,2022-05-09,431956,42427,431956,May
96,AUDI Q7 KA TOKEN AGAYA| MOM NE LAGADI DAAT,2022-05-07,458482,40761,458482,May
97,Mere sath hua fraud aur 3 lac ka loss -Data Entry fraud.,2022-05-06,400042,38297,400042,May
98,Skyu Vaccinations Ke Baad Hui Bimaar🥺,2022-05-05,340816,30460,340816,May
99,SKYU KI PEHLI CHOTI SI SCOOTER RIDE,2022-05-04,386139,38098,386139,May
100,Puraney ghar mai yaad taza hojati hai. #shorts,2022-05-03,167160,12260,167160,May
101,Kya aapne yeh notice kiya ? #shorts,2022-05-02,823941,50516,823941,May
102,"EV CHARGING STATION GAYA AUR YEH HO GOYA ,ABB KYA KARU ?",2022-05-02,505200,44232,505200,May
103,Pani wali yeh malai wala nariyal,2022-05-01,247541,19239,247541,May
104,Baap -Beti ka Bond sabse alag❤️🤗,2022-05-01,383626,38222,383626,May
105,MY MOM CAN EASILY WIN BIG BOSS,2022-04-30,449605,39954,449605,Apr
106,EV CAR LENE KE LIYE MANN LALCHA RAHA HAI ..,2022-04-29,480415,45396,480415,Apr
107,8 TIMES CHEQUE BOUNCE KAR DIYA 😳,2022-04-28,361008,40319,361008,Apr
108,SHOULD I BUY THE MERCEDES MAYBACH GLS 600??😍,2022-04-27,738121,56614,738121,Apr
109,"HAR LADKE KI KAMZORI |  MAA ,WIFE AND DAUGHTER",2022-04-26,430927,47257,430927,Apr
110,IT COULD HAVE BEEN MY WORST DAY BUT MAI RUKEGA NAHI SALA,2022-04-25,500544,45089,500544,Apr
111,"HIGH SPEED PE TIRE  PHAT GAYA, BAAL BAAL BACH GAYE",2022-04-24,596919,46704,596919,Apr
112,"MANDIR MAI GHUSNE NAHI DIYA, PHIR LAGAYA DESI JUGAAD.",2022-04-23,441788,41660,441788,Apr
113,YEH KAHA AGAYE HUM ? | SAB KUCH BADAL GAYA.,2022-04-22,543014,47422,543014,Apr
114,AAJ THO BIKE GIRA HI DI THI MERE FLYING KICK KE CHAKKAR MAI..,2022-04-21,578146,53590,578146,Apr
115,Photography chalu hai #shorts,2022-04-21,168854,12754,168854,Apr
116,WORST RAINY RIDING OF MY LIFE | KERALA MAI APKA SWAGAT HAI.,2022-04-20,586749,53666,586749,Apr
117,MUMBAI SE NIKLEY KOCHI KE LIYE AUR PEHELE HI DIN PROBLEM HOGAI ..,2022-04-19,548331,53613,548331,Apr
118,NORTH KA PLAN SOUTH MAI BADAL GAYA ..,2022-04-18,521723,53052,521723,Apr
119,NAZAR HATI DURGATNA GATI WALA HEESAB HOJATA,2022-04-17,423724,41152,423724,Apr
120,BOOKED A NEW MERCEDES JUST TO SEE HER REACTION | Prank hai bro,2022-04-16,538541,50486,538541,Apr
121,HER REACTION WATCHING MY VIDEOS..,2022-04-15,417125,39267,417125,Apr
122,AB IS GYM KO BHI SELL KARNA PADEGA | TO MANY THINGS,2022-04-14,415532,39624,415532,Apr
123,YEH THO KITCHEN MAI POL KHOL RAHI HAI !!,2022-04-13,479709,45648,479709,Apr
124,A smart/Fitness watch you never have to charge if..#shorts,2022-04-13,273161,21518,273161,Apr
125,DRIVING A LUXURIOUS EV WITH MY WIFE AND DAUGHTER | Can This Be Our Future.,2022-04-12,606986,50856,606986,Apr
126,Yeh Kaunsi Gaadi Agayi ? | Dil Se Bohat Pasand Hai.,2022-04-11,562070,52568,562070,Apr
127,AN IMPORTANT DECISION OF SELLING MY Q7,2022-04-10,537888,51620,537888,Apr
128,Mumbai Indians Ki Signed Bat gift mein mili😍,2022-04-09,410971,42923,410971,Apr
129,TURNING OUR NEW  ROOM INTO A PERSONAL MOVIE THEATER..,2022-04-08,460352,42291,460352,Apr
130,AN ELECTRIC SCOOTER WITH A NEGATIVE REVIEW ?,2022-04-07,539108,46459,539108,Apr
131,First time trying on a 360 selfie video #shorts,2022-04-07,274851,26346,274851,Apr
132,YEH THO FULL ROCKSTAR WALI FEELING AAGAI !!,2022-04-06,712863,69196,712863,Apr
133,Jaise Hi Skyu Ko Chod Ke Jaane Ki Baat Ki…🤭,2022-04-05,420271,42554,420271,Apr
134,Mummy Ne Final Warning de di ..,2022-04-04,467967,42267,467967,Apr
135,I AM LEAVING INDIA | Aysa I Told Everyone,2022-04-02,554507,48099,554507,Apr
136,Aaj Samaj Main Agaya Ki Zindagi Mai Bohat Kuch Badal Gaya Hai.,2022-04-01,570453,50742,570453,Apr
137,MERA TOH JAISA SAPNA PURA HOGAYA !!,2022-03-31,614787,54767,614787,Mar
138,AAJ PROVE HOGAYA KARMA WORKS !!,2022-03-30,576889,56932,576889,Mar
139,SOLO RIDE KA PEHELE HI DIN PROBLEM !!,2022-03-29,569835,57301,569835,Mar
140,RIDE KE LIYE TAIYAAR ..,2022-03-28,433615,44528,433615,Mar
141,Kabhi try kiya hai yeh karna ?,2022-03-27,3416725,156713,3416725,Mar
142,HE MET MY DAUGHTER FOR THE FIRST TIME !!,2022-03-27,554622,51493,554622,Mar
143,YEHI THO PUBLIC KI DEMAND THI | 4K | #FutureIsAirtel5G,2022-03-26,1094430,91822,1094430,Mar
144,YEH THO SOCHA BHI NAHI THA | Delhi mai mila surprise,2022-03-25,452714,47962,452714,Mar
145,PEHELI BAAR SCOOTY SE GIR GAYA | EMBARASSING ..,2022-03-24,458088,45290,458088,Mar
146,INSTALLED CARPLAY AND ANDROID AUTO ON MY MOTORCYCLE,2022-03-23,484990,39847,484990,Mar
147,YEH LADKI THO ATTITUDE DHIKANE LAG GAYI !!,2022-03-22,418435,39007,418435,Mar
148,Youtube ne bheja #shorts ka box,2022-03-21,144574,10576,144574,Mar
149,YEH GAADI NE THO DEEWANA KARDIYA SABKO !! BMW I8,2022-03-21,734990,59540,734990,Mar
150,BADMASH BACCHAA | POPAT KARDIYA MERA,2022-03-20,457808,44140,457808,Mar
151,OUR FIRST HOLI WITH SKYU,2022-03-19,365652,38296,365652,Mar
152,HOLI KE DIN RECORD BANN GAYA | 17hrs mai DEL-MUM,2022-03-18,443455,39794,443455,Mar
153,TRAFFIC COPS NE Rs 5000 Ka FINE BHAR NE BOLA !!,2022-03-17,477385,43585,477385,Mar
154,"Went to watch "" THE KASHMIR FILES ""..",2022-03-16,447407,44576,447407,Mar
155,PLAN CHANGE KARNA PADA,2022-03-15,395030,41178,395030,Mar
156,"Skyu Ke Liye Mannat Maangi Thi, Golden Temple Ke Darshan🙏🏻",2022-03-14,527828,51178,527828,Mar
157,Modified Range Rover #shorts,2022-03-13,224444,17667,224444,Mar
158,MATA VAISHNO DEVI KE DASRSHAN | Walking.,2022-03-13,589787,55709,589787,Mar
159,BULAVA AYA AND WE REACHED JAMMU ..,2022-03-12,564665,51598,564665,Mar
160,SABSE LAMBI WALI RANGE ROVER ...,2022-03-11,702364,59802,702364,Mar
161,SKYU KO DELHI MAI MAZA ARAHA HAI ...,2022-03-10,451271,46040,451271,Mar
162,Reached delhi but 2 problems |  Audi q7 ka grill tut gaya.,2022-03-09,619599,55737,619599,Mar
163,FIRST ROAD TRIP WITH MY DAUGHTER !!!,2022-03-08,599317,60498,599317,Mar
164,WE ARE READY | CHALO JAHA CHALNA HAI,2022-03-07,500998,45379,500998,Mar
165,MOM KE SATH ARGUMENT | THUG MOM,2022-03-06,432180,43670,432180,Mar
166,"Zindagi , TV aur Phone #shorts",2022-03-05,237426,20915,237426,Mar
167,SKYU STARTED RESPONDING ..🕺,2022-03-05,473690,45268,473690,Mar
168,BAD DREAM #shorts,2022-03-04,165304,15977,165304,Mar
169,A VERY SPECIAL MYSTERY BOX | UNBOXING A LIMITED EDITION,2022-03-04,412416,42791,412416,Mar
170,AT THE EXCLUSIVE PREMIER OF THE BATMAN 2022,2022-03-03,433092,44702,433092,Mar
171,MANNAT MAANGI THI | BAAL KATVADIYE,2022-03-02,472316,48601,472316,Mar
172,ABB MAZA AYEGA | WORK COMPLETE !!,2022-03-01,543030,51332,543030,Mar
173,HIGHWAY PE PETROL KHATAM !!,2022-02-28,464257,46412,464257,Feb
174,2 BEAUTIFUL SISTERS IN THE HOUSE ..,2022-02-27,452485,47196,452485,Feb
175,18 CRORE KA GHAR & MUMBAI KI PARKING SPACE PROBLEM,2022-02-26,770663,65874,770663,Feb
176,MAKING MY DREAM HOME ..,2022-02-25,672450,58495,672450,Feb
177,MAMA KO DHEK KAR DAR GAYI ..,2022-02-24,530536,51619,530536,Feb
178,SECURITY STOPED ME | THEY MISTOOK MY DAUGHTER FOR A PET !!,2022-02-23,621942,58710,621942,Feb
179,LOGO KO LAGTA HAI BOHAT ASAAN HAI !!,2022-02-22,465677,46822,465677,Feb
180,ME AND SKYU DRESSED UP | LOST A GOLD CHAIN,2022-02-21,545885,53271,545885,Feb
181,SKYU KE BINA EK DIN REHENA PADEGA !!,2022-02-20,486099,51875,486099,Feb
182,For vloggers who vlogs with gopro.,2022-02-19,389214,26316,389214,Feb
183,AAJ THO JAAN BACH GAYI | MUMBAI | VLOGGING SETUP,2022-02-19,560812,57701,560812,Feb
184,MAZAK MAZAK  KARDIYA AUR KUCH AYSA BANN GAYA !!,2022-02-18,639121,70702,639121,Feb
185,SKYU NE THO DARA HI DIYA AAJ ...,2022-02-17,701210,59735,701210,Feb
186,ARE WE GOING TO SHIFT ?,2022-02-16,659233,64716,659233,Feb
187,I BOUGHT A HOUSE IN MUMBAI FOR SKYU | HOUSE TOUR,2022-02-15,1240766,110745,1240766,Feb
188,FAMILY NE GHAR AKE SURPRISE DEDIYA !!,2022-02-14,762447,72215,762447,Feb
189,EK BHOOL SE BADA NUKSAAN HOJATA ..,2022-02-13,591971,58811,591971,Feb
190,MUMBAI ATEY SATH YEH HOGAYA !!,2022-02-12,796594,76782,796594,Feb
191,"WHEN NANA, NANI, DADI MET SKYU.",2022-02-11,1247341,110153,1247341,Feb
192,MY DAUGHTER'S FIRST FLIGHT | CANADA TO MUMBAI | ETHIHAD BUSINESS CLASS,2022-02-10,1183980,103026,1183980,Feb
193,MUMBAI HERE WE COME | ALVIDA CANADA,2022-02-09,548914,58442,548914,Feb
194,FLIGHT KE LIYE TAIYAAR !!,2022-02-08,408584,44339,408584,Feb
195,PUBLIC NE BOLAA KARNE KA MATLAB KARNEKA !!!,2022-02-07,461183,44918,461183,Feb
196,ISKI MASTI ABHI SE CHALU !!,2022-02-06,408807,40910,408807,Feb
197,HAD TO DO THIS BEFORE I LEAVE CANADA !!,2022-02-05,371357,37279,371357,Feb
198,SKYguru Ka Aashirwaad🤣 #shorts,2022-02-05,352858,28678,352858,Feb
199,ISNE HAMARA LUCK STRONG KARDIYA 👼,2022-02-04,512813,49291,512813,Feb
200,OUR DAUGHTER SKY | FACE REVEAL,2022-02-03,977388,102124,977388,Feb
201,SKYU'S FACE REVEAL COMING TOMORROW..,2022-02-02,298490,35793,298490,Feb
202,UMEED PE THO DUNIYA KAYAM HAI !!,2022-02-01,287231,32704,287231,Feb
203,Father entertaining his 7week Old daughter🤗🕺 #Shorts,2022-01-31,283440,21528,283440,Jan
204,1ST ANNIVERSARY AUR YEH SAB,2022-01-31,337823,33834,337823,Jan
205,Visa ke liye abb nahi ruka jaraha,2022-01-30,215109,18975,215109,Jan
206,WE WERE SUPPOSE TO LEAVE  TODAY | OUR ✈️,2022-01-29,417879,40798,417879,Jan
207,SKYU KE LIYE YEH IMPORTANT HOGA,2022-01-28,338635,35410,338635,Jan
208,GADI SIDE MAI RUKAKE YEH KARNA PADA ..,2022-01-27,324207,32588,324207,Jan
209,FINDING GIFTS FOR THEM ..,2022-01-26,314533,34080,314533,Jan
210,LAST MOMEMT PE KAAM KHARAB HOJATA,2022-01-25,279237,34618,279237,Jan
211,FINALISING OUR TRAVEL PLANS ...🥳😍,2022-01-24,348010,37787,348010,Jan
212,YOUTUBER READING HATE COMMENTS LIKE..,2022-01-23,317577,34786,317577,Jan
213,AAGAYA SKYU KA PASSPORT 🥳,2022-01-22,516082,46985,516082,Jan
214,"Saara Kaam Hogaya, Ab Kya???",2022-01-21,307633,34249,307633,Jan
215,When you have a plan but life has planned something else for you.,2022-01-21,1251950,68048,1251950,Jan
216,FINALLY WOH DIN AAGAYA !!,2022-01-20,516250,49657,516250,Jan
217,WE DECIDED TO SURPRISE HIM ..,2022-01-19,436054,46740,436054,Jan
218,FIRST SNOW STORM EXPERIENCE | To many problems,2022-01-18,300143,30646,300143,Jan
219,Aaaj tho Toofaan hi agaya idar ..,2022-01-18,111961,10364,111961,Jan
220,GHAR JANE KE PEHEHE YEH SAB KHATAM KARNA HAI !!,2022-01-17,294324,29568,294324,Jan
